boardgame,release_year,min_players,max_players,min_playtime,max_playtime,minimum_age,num_ratings,complexity,wishlisted,total_plays,fans,amazon_price,comments,avg_rating
1775: Rebellion,2013,2,4,60,120,10,4404,2.33,1980,9601,362,80,1245,7.635
1830: Railways & Robber Barons,1986,2,7,180,360,14,5880,4.17,1670,17139,442,58.77,1894,7.865
1846: The Race for the Midwest,2005,3,5,120,240,14,3122,4,852,19822,203,63.85,895,7.89
1862: Railway Mania in the Eastern Counties,2013,1,8,120,300,14,1320,4.59,592,6508,172,74.03,450,8.171
1989: Dawn of Freedom,2012,2,2,150,150,12,2432,3.29,1118,4868,276,56.88,797,7.758
20 Strong,2023,1,1,30,40,14,2491,2.36,1419,15294,470,25.95,546,7.424
3 Ring Circus,2023,1,4,45,75,12,2561,2.7,1097,7550,308,32,405,7.199
7 Wonders,2010,2,7,30,30,10,109771,2.31,14516,639978,7500,46.05,16965,7.669
7 Wonders (Second Edition),2020,3,7,30,30,10,10370,2.3,2013,48366,747,46.05,1239,7.831
7 Wonders: Architects,2021,2,7,25,25,8,12477,1.37,2711,160194,601,43.9,1949,7.037
878 Vikings: Invasions of England,2017,2,4,60,120,12,3704,2.61,2246,6449,381,80,963,7.49
A Fake Artist Goes to New York,2011,5,10,20,20,8,9824,1.1,3274,45812,421,48.03,1775,7.118
A Game of Thrones,2003,3,5,180,180,12,10706,3.45,1104,11841,492,51.91,2715,7.167
A Game of Thrones: The Board Game (Second Edition),2011,3,6,120,240,14,36123,3.73,5826,40937,3157,51.91,5369,7.532
A Game of Thrones: The Card Game,2008,2,4,60,120,12,6340,3.25,470,23404,543,29.95,1461,6.803
A Game of Thrones: The Card Game (Second Edition),2015,2,4,60,120,14,5097,3.53,859,42327,497,44.68,957,7.493
A Gentle Rain,2021,1,1,15,15,8,2239,1.12,1516,33466,386,30.99,516,7.647
A Gest of Robin Hood,2024,2,2,45,90,12,1529,3,2085,5896,495,65.64,390,7.727
A Touch of Evil: The Supernatural Game,2008,2,8,60,120,12,4759,2.56,1041,9634,588,67.99,1296,6.984
A War of Whispers,2019,2,4,30,60,14,4896,2.57,2994,8770,434,50,914,7.289
Abandon All Artichokes,2020,2,4,20,20,10,6007,1.26,874,74034,164,21.99,1051,6.582
Above and Below,2015,2,4,90,90,13,16787,2.52,5417,37369,1167,50.36,3278,7.351
Abyss,2014,2,4,30,60,14,16087,2.32,4034,50868,856,44.75,2805,7.327
Acquire,1964,2,6,90,90,12,21519,2.49,3489,47899,970,35,6527,7.351
Adrenaline,2016,3,5,30,60,12,7075,2.37,1513,14657,276,59.99,1468,6.981
Adventure Games: The Dungeon,2019,1,4,90,90,12,2718,1.67,571,6176,88,24.12,610,6.925
Adventure Land,2015,2,4,45,45,10,2863,1.82,889,7161,101,29.95,777,6.89
Aeon Trespass: Odyssey,2022,1,4,90,90,12,2574,4.75,2383,17140,2469,599.99,894,9.013
Aeon's End,2016,1,4,60,60,14,22879,2.81,8407,130005,2455,51.17,3561,7.876
Aeon's End: Legacy,2019,1,4,45,90,14,5631,2.84,2568,31871,548,86.26,1106,8.056
Aeon's End: The New Age,2019,1,4,60,60,14,3143,2.93,1280,17408,376,59.99,662,8.504
