Country_of_Origin,Harvest_Year,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Moisture,farm_altitude_mean_meters,Total_Cup_Points
Haiti,2012,6.75,6.58,6.42,6.67,7.08,6.67,9.33,6,6,6.42,0.14,464.5152,67.92
Mexico,2012,7.08,6.83,6.25,7.42,7.25,6.75,10,0,10,6.75,0.11,900,68.33
Honduras,2014,7,6.17,6.17,6.67,6.5,6.17,8,8,8,6.5,0.1,1450,69.17
Honduras,2014,7,6.33,6.17,6.5,6.67,6.17,8,8,8,6.33,0.1,1450,69.17
Honduras,2014,6.67,6.5,6.17,6.67,6.83,6.17,8,8,8,6.33,0.1,1450,69.33
Mexico,2014,6.92,7,6.83,6.92,7.42,6.92,6,6,10,6.75,0.12,1000,70.75
Mexico,2012,6.5,6.67,6.42,7.17,7.33,6.5,8,6,10,6.42,0.11,1800,71
Mexico,2012,6.92,6.92,6.92,6.92,7.17,7,10,2.67,10,6.58,0.12,800,71.08
Costa Rica,2014,6.33,6.5,6.33,6.83,6.33,6.5,10,6.67,10,6.25,0.11,1200,71.75
Haiti,2010,6.92,6.75,7.08,7.17,7.33,6.67,10,5.33,8.67,6.42,0.08,1020,72.33
Mexico,2014,7.08,7.08,6.92,7.08,6.92,6.92,8,8,8,6.92,0,1200,72.92
Honduras,2014,7,7.17,6.83,7.17,7,7.17,8,8,8,7.08,0.11,1350,73.42
Mexico,2012,7.67,7,7.17,7.58,7.33,7.33,10,2.67,10,7.08,0.12,1250,73.83
Mexico,2012,6.92,6.42,6.17,7.33,7.25,6.75,10,6.67,10,6.5,0.13,1200,74
Guatemala,2013,6.5,6.33,6.5,7.5,7.33,6.83,8.67,10,8.67,6,0.11,371.61216,74.33
Mexico,2012,7,6.58,6.67,6.83,7.08,6.83,10,6.67,10,6.67,0.14,1140,74.33
Mexico,2013,7.08,7,6.83,7.5,7.33,6.83,8,7.33,10,6.75,0.12,1700,74.67
Mexico,2012,7.33,6.75,6.67,7.25,7.5,7,10,5.33,10,7,0.12,1250,74.83
Mexico,2012,7.08,6.75,6.58,7,7,6.75,8.67,8.67,10,6.42,0.17,1500,74.92
Mexico,2012,7,6.92,6.75,6.92,7.17,6.83,10,6.67,10,6.75,0.14,850,75
Mexico,2012,7.17,6.92,6.67,6.83,7.25,7.75,10,6,10,6.58,0.11,1200,75.17
Mexico,2012,7.25,6.83,6.67,7.08,7.17,6.83,10,6.67,10,6.67,0.12,1100,75.17
Mexico,2012,7.17,7.17,6.83,7.17,7.42,6.67,8.67,7.33,10,6.75,0.13,1280,75.17
Mexico,2012,7.5,7.25,6.92,7,7.17,6.83,8,8,10,6.83,0.11,1100,75.5
Guatemala,2012,7.92,7.58,7.17,7.58,7.33,7.17,8,8,8,6.83,0.11,371.61216,75.58
Philippines,2012,6.83,6.5,6.5,6.92,6.75,7,9.33,10,9.33,6.67,0.12,1000,75.83
Honduras,2014,6.83,6.83,6.67,6.83,7,6.83,9.33,8.67,10,7,0.11,1350,76
Mexico,2012,7.08,6.83,6.83,7.17,7.17,7.08,10,7.33,10,6.58,0.12,1250,76.08
Indonesia,2011,7.33,7,6.5,6.08,7.58,6.33,9.33,10,9.33,6.67,0.12,3500,76.17
Mexico,2012,7.42,7,6.83,7.08,6.92,6.83,7.33,10,10,6.75,0.16,1400,76.17
Guatemala,2012,7.5,7,6.83,7.5,7.17,7.33,8.67,8.67,8.67,7,0.11,371.61216,76.33
Mexico,2012,7.17,6.58,6.58,7,7.25,6.58,9.33,9.33,10,6.58,0.13,1100,76.42
Mexico,2008,6.67,6.33,6.42,6.83,7,6.92,10,10,10,6.58,0,1200,76.75
Peru,2014,7.42,7.75,7.42,7.67,7.92,7.83,8.67,5.33,9.33,7.67,0,1200,77
Mexico,2012,7.08,7,7,7.25,7.33,7.25,8.67,8.67,10,6.92,0.12,1200,77.17
United States,2014,7.33,7.33,7.17,7.42,7.5,7.17,9.33,9.33,7.42,7.17,0,795,77.17
Haiti,2013,6.83,6.83,6.83,6.75,6.92,6.92,9.33,10,10,6.83,0.1,825,77.25
Brazil,2017,7.5,7.33,7.42,7.58,7.58,6.92,8,8,10,7,0,890,77.33
Guatemala,2014,7.33,7,6.83,7.17,7.17,7.17,9.33,9.33,9.33,6.67,0.1,250,77.33
Mexico,2012,7.33,7,6.67,7,6.92,6.92,9.33,9.33,10,6.83,0.15,1500,77.33
Guatemala,2013,7.08,6.92,6.33,7,6.92,7,10,10,10,6.17,0.11,371.61216,77.42
Mexico,2012,7.17,6.75,6.58,6.75,6.83,6.75,10,10,10,6.67,0.13,1300,77.5
Taiwan,2012,7.17,6.75,6.58,7.33,7.33,7.17,9.33,9.33,10,6.67,0.11,775,77.67
Guatemala,2013,7,6.83,6.67,7.17,6.83,6.83,10,10,10,6.5,0.11,371.61216,77.83
Nicaragua,2016,7.42,7,7,7.17,7.08,7,9.33,8.67,10,7.17,0.1,1000,77.83
Costa Rica,2014,7.5,7.25,7.42,7,7.08,6.83,8.67,9.33,10,6.83,0.12,1200,77.92
Mexico,2012,7.42,7.25,7,7,7.25,7.08,8,10,10,6.92,0.11,1248,77.92
China,2013,7.33,7.17,6.92,7.08,7.33,7,9.33,9.33,9.33,7.17,0.1,1200,78
Guatemala,2014,7.42,7.25,6.83,7.33,7,6.92,9.33,9.33,9.33,7.25,0.1,250,78
Guatemala,2013,7,6.83,6.83,7.17,6.67,6.83,10,10,10,6.67,0.11,371.61216,78
Honduras,2014,6.83,7,6.67,7,7,6.83,10,10,10,6.67,0.11,1350,78
Mexico,2012,7.25,7.33,7,7,7.25,7.08,10,10,8,7.08,0.12,850,78
Taiwan,2016,7.5,7.08,7.33,7.17,7.5,7.5,6.67,10,10,7.25,0,650,78
Ecuador,2016,7.5,7.67,7.75,7.75,5.17,5.25,10,10,8.42,8.58,0,427.353984,78.08
Mexico,2012,7.08,6.83,6.67,7.25,7.25,6.92,10,9.33,10,6.75,0.11,1050,78.08
Indonesia,2016,6.92,6.83,6.92,6.92,6.92,6.83,10,10,10,6.83,0.13,1300,78.17
Guatemala,2014,7.17,6.5,6.67,7,7.17,7.17,10,10,10,6.67,0.1,200,78.33
Guatemala,2012,7.17,7.17,6.5,7.17,7,6.83,10,10,10,6.5,0.11,371.61216,78.33
Mexico,2012,7.25,7.25,7,7.5,7.33,7.42,8,9.33,10,7.75,0.13,1300,78.33
Mexico,2012,7.58,7.17,7,7.17,7.33,7,8,10,10,7.17,0.14,1500,78.42
Mexico,2014,7.25,6.75,6.92,6.92,7.25,7.58,9.33,9.33,10,7.17,0,1600,78.5
Mexico,2012,7.08,6.83,6.83,7,7,6.92,10,10,10,6.83,0.12,1400,78.5
Mexico,2012,7.25,7.17,7,6.83,7.58,7.08,8.67,10,10,6.92,0.13,1200,78.5
Guatemala,2014,7.33,7.17,6.92,7.58,7.25,7.17,8.67,9.33,10,7.17,0.12,200,78.58
Mexico,2012,7,7,6.75,7.33,6.92,6.92,10,10,10,6.67,0.13,1400,78.58
