track_name,track_album_release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_popularity
(What A) Wonderful World - Remastered,1960,0.524,0.543,-9.889,0.0397,0.734,0,0.275,0.877,128.091,125507,13
Jingle Bells,1960,0.688,0.7,-6.295,0.0757,0.73,0,0.727,0.876,119.117,142547,11
At Last - Single Version,1960,0.168,0.326,-9.981,0.0324,0.721,6.00E-04,0.316,0.322,174.794,182400,25
Green Onions,1962,0.816,0.514,-8.741,0.0339,0.767,0.949,0.0899,0.912,136.837,176333,64
Christmas (Baby Please Come Home),1963,0.343,0.76,-7.146,0.0513,0.392,3.88E-04,0.0773,0.356,126.322,166453,73
Winter Wonderland,1964,0.611,0.359,-8.026,0.0253,0.79,0,0.391,0.568,106.274,132107,45
Que Bueno Baila Usted,1965,0.485,0.651,-9.712,0.107,0.855,0.0152,0.0958,0.588,172.23,196933,40
Turn! Turn! Turn! (To Everything There Is a Season),1965,0.449,0.811,-8.17,0.0458,0.117,2.28E-05,0.0393,0.736,124.594,229533,42
Land of 1000 Dances,1966,0.618,0.588,-11.624,0.0735,0.0128,0.0266,0.351,0.768,86.903,146973,61
When a Man Loves a Woman,1966,0.516,0.15,-20.41,0.0272,0.13,0.0755,0.122,0.206,97.398,173867,66
White Rabbit,1967,0.551,0.293,-12.503,0.0272,0.486,2.73E-04,0.0864,0.322,106.798,150640,69
"Everybody's Talkin' - From ""Midnight Cowboy""",1967,0.412,0.473,-10.964,0.037,0.383,8.41E-05,0.541,0.676,124.411,164907,10
(Your Love Keeps Lifting Me) Higher & Higher,1967,0.634,0.677,-7.19,0.0448,0.318,0,0.0902,0.939,95.792,179120,67
Can't Take My Eyes off You,1967,0.581,0.78,-7.053,0.0567,0.508,1.07E-05,0.0799,0.561,123.711,203680,65
My Death,1967,0.255,0.372,-16.437,0.0424,0.291,0,0.269,0.392,82.417,297480,24
Back Door Santa,1968,0.683,0.473,-14.698,0.0307,0.368,2.04E-05,0.313,0.966,103.849,129240,48
Slip Away,1968,0.784,0.433,-9.1,0.0376,0.299,1.60E-04,0.0248,0.917,113.491,153298,53
Born To Be Wild,1968,0.438,0.71,-12.412,0.0919,0.262,0.537,0.221,0.53,145.928,210373,73
The Pusher,1968,0.467,0.382,-13.807,0.0264,0.236,0.125,0.187,0.704,81.754,350467,54
Hawaii Five-O,1969,0.518,0.782,-9.753,0.0631,0.265,0.654,0.0769,0.861,163.642,113893,48
Can I Change My Mind,1969,0.545,0.669,-6.239,0.0456,0.314,0,0.0553,0.886,102.041,177733,38
